FFD Points: X, Y, Z
0.0091084263892, 0.635862304303, 0.0131071294948
0.0169209295033, 0.021833557305, 0.04000458506
0.0169110817031, 0.681943278487, 0.0131056024326
0.0253653190019, 0.0263207505621, 0.0399998969492
0.0253555472019, 0.719335932419, 0.0131040704253
0.986110515452, 0.00200073857063, 0.0399998396977
0.986109390437, 0.516672543546, 0.0131040517163
0.994047892866, 0.00086167774168, 0.0399998170094
0.994046839287, 0.507180528172, 0.0131040443021
0.998015977522, 0.00028795772957, 0.0399998056685
0.998014959656, 0.502399607753, 0.0131040405961
0.0317121232658, 0.0101781616217, 3.02728178286
0.0317024085874, 0.584816599904, 0.989304888668
0.0335943421784, 0.0191712989664, 3.02291805663
0.0335846444402, 0.659758162084, 0.987878885606
0.0373616096014, 0.0261434413329, 3.01725122489
0.0373519457689, 0.717858380135, 0.986027046377
0.457007698783, 0.0553869095298, 0.0399997999838
0.457001811799, 0.961549886917, 0.0131040387384
0.492654564872, 0.0533236344002, 0.0399998043315
0.492648998713, 0.944356214065, 0.0131040401592
0.528283570157, 0.0509720079138, 0.0399998086793
0.528278324662, 0.924759653287, 0.01310404158
0.563894478569, 0.0483606164578, 0.039999813027
0.563889553575, 0.902998420508, 0.0131040430008
0.59948727839, 0.0455130274546, 0.0399998173748
0.599482673734, 0.87926890764, 0.0131040444215
0.635062042957, 0.0424483435581, 0.0399998217228
0.635057758477, 0.853730300813, 0.0131040458424
0.670618790715, 0.0391815802524, 0.0399998260725
0.670614826249, 0.826507726975, 0.0131040472638
0.706157522101, 0.0357240186852, 0.0399998304196
0.706153877486, 0.797695194123, 0.0131040486844
0.741677974183, 0.0320834633602, 0.0399998347683
0.741674649255, 0.767357738706, 0.0131040501055
0.777179682272, 0.0282644476623, 0.0399998391143
0.777176676862, 0.7355331383, 0.0131040515257
0.812661901322, 0.0242684136144, 0.0399998434626
0.812659215255, 0.702233409563, 0.0131040529467
0.848123557117, 0.0200938329185, 0.0399998478102
0.848121190208, 0.667445816891, 0.0131040543674
0.883563203883, 0.0157363575025, 0.0399998521571
0.883561155934, 0.631134126952, 0.0131040557879
0.918978975871, 0.0111889132684, 0.0399998565028
0.918977246666, 0.593239389913, 0.013104057208
0.952546837748, 0.00669139612408, 0.0399998606256
0.952545410656, 0.555760705022, 0.0131040585553
0.969321172685, 0.00437214183167, 0.0399998626884
0.969319896564, 0.536433908032, 0.0131040592294
0.977705776413, 0.00319412062764, 0.0399998637185
0.977704575754, 0.526617228277, 0.013104059566
0.493024591992, 0.0130801495132, 3.05167014456
0.493019029163, 0.608999429286, 0.997274655017
0.492957206538, 0.025435386888, 3.04684497193
0.492951643103, 0.711958024766, 0.995697857897
0.492464578447, 0.0363732495403, 3.03900827106
0.492459010578, 0.80310536108, 0.993136936602
